id_no,state,id,year,enf_task_force_287g,enf_warrant_287g,enf_jail_287g,enf_secure_comms,enf_lim_coop_detainers,enf_everify,enf_limits_everify,enf_state_omnibus,pub_tanf_post5,pub_cashass_during5,pub_foodass_lprkids,pub_foodass_lpradults,pub_ssi_replacement,pub_medicaid_lprkids,pub_pubins_unauthkids,pub_pubins_lpradults,pub_pubins_unauthadult,pub_medicaid_lprpreg,pub_medicaid_unauthpreg,pub_medicaid_lpr_post5,int_instate_tuition,int_state_finaid,int_uni_ban,int_official_eng,int_drivers_license
9,District of Columbia,DC,2016,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1
9,District of Columbia,DC,2017,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1
9,District of Columbia,DC,2018,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1
9,District of Columbia,DC,2019,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1
10,Florida,FL,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Florida,FL,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Florida,FL,2002,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Florida,FL,2003,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Florida,FL,2004,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Florida,FL,2005,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Florida,FL,2006,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Florida,FL,2007,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Florida,FL,2008,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Florida,FL,2009,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Florida,FL,2010,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Florida,FL,2011,1,0,0,1,0,.5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Florida,FL,2012,1,0,0,1,0,.5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Florida,FL,2013,0,0,0,1,.5,.5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Florida,FL,2014,0,0,0,1,1,.5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
10,Florida,FL,2015,0,0,0,0,1,.5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
10,Florida,FL,2016,0,0,0,0,1,.5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
10,Florida,FL,2017,0,0,0,1,.5,.5,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0
10,Florida,FL,2018,0,0,0,1,.5,.5,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0
